Chennai Beach,0
Chennai Fort,1
Chennai Park,2
Chennai Egmore,4
Chetpat,6
Nungambakkam,7
Kodambakkam,9
Mambalam,10
Saidapet,12
Guindy,14
St.Thomas Mount,16
Palavanthangal,18
Minambakkam,19
Tirsulam,20
Pallavaram,22
Chrompet,24
Tambaram Sanitoriam,26
Tambaram,28
Perugulattur,32
Vandalur,34
Urappakkam,37
Guduvancheri,40
Potheri,43
Kattangulathur,45
Maraimalai Nagar,46
Singaperumal Koil,51
Paranur,55
Chengalpattu,59
